#t  x  v 
1.64000  -0.69155  -9.97593 
1.65000  -0.79128  -9.96852 
1.66000  -0.89092  -9.96011 
1.67000  -0.99048  -9.95070 
1.68000  -1.08994  -9.94030 
1.69000  -1.18929  -9.92890 
1.70000  -1.28852  -9.91652 
1.71000  -1.38762  -9.90313 
1.72000  -1.48658  -9.88876 
1.73000  -1.58539  -9.87340 
1.74000  -1.68405  -9.85706 
1.75000  -1.78253  -9.83972 
1.76000  -1.88084  -9.82141 
1.77000  -1.97896  -9.80211 
1.78000  -2.07688  -9.78183 
1.79000  -2.17460  -9.76057 
1.80000  -2.27209  -9.73834 
1.81000  -2.36936  -9.71513 
1.82000  -2.46640  -9.69095 
1.83000  -2.56318  -9.66580 
1.84000  -2.65971  -9.63969 
1.85000  -2.75598  -9.61261 
1.86000  -2.85196  -9.58457 
1.87000  -2.94767  -9.55557 
1.88000  -3.04308  -9.52562 
1.89000  -3.13818  -9.49471 
1.90000  -3.23297  -9.46286 
1.91000  -3.32744  -9.43005 
1.92000  -3.42157  -9.39631 
1.93000  -3.51536  -9.36163 
1.94000  -3.60880  -9.32600 
1.95000  -3.70188  -9.28945 
1.96000  -3.79459  -9.25197 
1.97000  -3.88692  -9.21356 
1.98000  -3.97886  -9.17423 
1.99000  -4.07041  -9.13399 
2.00000  -4.16154  -9.09283 
2.01000  -4.25226  -9.05076 
2.02000  -4.34256  -9.00778 
2.03000  -4.43242  -8.96391 
2.04000  -4.52184  -8.91914 
2.05000  -4.61080  -8.87347 
2.06000  -4.69931  -8.82692 
2.07000  -4.78734  -8.77949 
2.08000  -4.87490  -8.73118 
2.09000  -4.96196  -8.68199 
2.10000  -5.04854  -8.63194 
2.11000  -5.13460  -8.58103 
2.12000  -5.22016  -8.52925 
2.13000  -5.30519  -8.47663 
2.14000  -5.38969  -8.42315 
2.15000  -5.47365  -8.36883 
2.16000  -5.55707  -8.31368 
2.17000  -5.63993  -8.25770 
2.18000  -5.72222  -8.20088 
2.19000  -5.80394  -8.14325 
2.20000  -5.88509  -8.08481 
2.21000  -5.96564  -8.02556 
2.22000  -6.04560  -7.96550 
2.23000  -6.12495  -7.90465 
2.24000  -6.20369  -7.84300 
2.25000  -6.28181  -7.78058 
2.26000  -6.35930  -7.71737 
2.27000  -6.43616  -7.65339 
2.28000  -6.51237  -7.58865 
2.29000  -6.58793  -7.52315 
2.30000  -6.66283  -7.45690 
2.31000  -6.73707  -7.38990 
2.32000  -6.81063  -7.32216 
2.33000  -6.88351  -7.25369 
2.34000  -6.95570  -7.18449 
2.35000  -7.02720  -7.11458 
2.36000  -7.09799  -7.04395 
2.37000  -7.16808  -6.97262 
2.38000  -7.23745  -6.90059 
2.39000  -7.30609  -6.82787 
2.40000  -7.37400  -6.75447 
2.41000  -7.44118  -6.68040 
2.42000  -7.50761  -6.60565 
2.43000  -7.57329  -6.53025 
2.44000  -7.63822  -6.45419 
2.45000  -7.70238  -6.37749 
2.46000  -7.76577  -6.30015 
2.47000  -7.82838  -6.22218 
2.48000  -7.89021  -6.14358 
