# L=100 N=25
# t x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10 x11 y11 x12 y12 x13 y13 x14 y14 x15 y15 x16 y16 x17 y17 x18 y18 x19 y19 x20 y20 x21 y21 x22 y22 x23 y23 x24 y24 x25 y25 K P
0.00000 10.070241789123553 10.148128406131365 30.230158389023142 10.126531835808592 50.03013452533116 9.98848307806421 69.88663874701209 10.109287980641838 89.89646407601056 10.109349149641835 10.123035655672993 30.11174424065281 30.029527412987743 29.895301714893655 50.077630317012655 30.0543032623818 69.84976117396248 30.002090171836286 89.94000710303578 29.7466278564942 10.02512053687852 50.16234687361363 30.289233098684196 50.02613413804274 49.92791979567792 49.964319810059756 69.9228762681224 49.94035758441203 89.95129379917576 49.99798990628909 10.022575671143668 70.157731325858 30.03103907955587 69.91968637585964 50.05229531332621 69.87604073551213 70.13183409864776 70.01032698336626 90.08476456892762 70.22231709745951 10.02051934134947 90.10689064018398 29.963189793289757 89.92267311345945 50.15862485107795 89.98171347689672 70.12211091727346 90.0358768268465 90.03129428543436 89.78404630550729 129.27045284293237 -1.4298141436757794
0.01000 10.1404837168223 10.296257419872394 30.460318699712293 10.253066365233483 50.06026886846381 9.97696615461372 69.77327659671265 10.218577141549407 89.79292720900342 10.218702576026933 10.246072903834952 30.223487466500732 30.05905439878103 29.790601376222455 50.15526224100137 30.10860731122504 69.699520345161 30.004179834451385 89.8800135389184 29.493252117515517 10.050240167453008 50.324694021492 30.578469916394894 50.052269750707254 49.85583742384798 49.928639587602035 69.84575220101713 49.880714354527186 89.90258734394293 49.995980096752575 10.045150839203652 70.31546304110518 30.062078250371332 69.83937209195831 50.10459018589345 69.75208022483856 70.26366891606362 70.02065440870841 90.16952914776569 70.44463839860302 10.041038924771096 90.2137801680069 29.926378261127518 89.84534516615908 50.31725098155376 89.96342761101205 70.24422210412884 90.07175310266537 90.06258803352802 89.56808799247761 129.27486527406364 -1.434212379513124
0.02000 10.210725909580383 10.444387652656605 30.690482889223986 10.379606307344574 50.09040279527745 9.965449279328025 69.65991260286323 10.327868679752857 89.68938851250209 10.328064698778784 10.369113304181917 30.335228690180795 30.088580532020167 29.685896836787418 50.232897509207945 30.162912931213228 69.54927538081678 30.006268483865334 89.82001866990153 29.239868909244873 10.075358116680697 50.48704173793102 30.86771439180927 50.078408263844125 49.78375037998319 49.89295932509823 69.76862745531632 49.82106948870624 89.85388036765784 49.993970820486595 10.067724973224712 70.4731955444192 30.093117641377287 69.75905648491184 50.15688416642462 69.6281172162192 70.3955051650198 70.03098273661725 90.25429375342131 70.66696853291647 10.061559024281117 90.32066746078154 29.889564127088416 89.76801516646199 50.475879596972035 89.94514303952609 70.36633383537952 90.10762824950956 90.09388072299964 89.35212013315807 129.28241564237516 -1.4417445889833749
0.03000 10.280968483617245 10.592519719186564 30.920652951681493 10.506154414811915 50.12053601507027 9.953932556875348 69.54654576726519 10.437163808470473 89.58584716057221 10.43744016562998 10.492158378486268 30.44696694841594 30.11810539739991 29.5811858489287 50.31053800152178 30.217220903748554 69.39902400705427 30.008355621489358 89.76002188489524 28.986474010205967 10.100473727684092 50.649390334237644 31.15697075449424 50.10455104884918 49.7116557652644 49.857279045386036 69.69150167837097 49.761422158230566 89.80517259394604 49.99196229664127 10.090297514050274 70.63092924560533 30.124157419075676 69.678738889183 50.209176792766456 69.50415045110476 70.52734355173749 70.04131244505051 90.33905840180067 70.88931267469277 10.082079945090715 90.42755138706525 29.85274616160008 89.69068219034585 50.63451183488016 89.9268603794273 70.48844638923889 90.1435016639726 90.12517185338429 89.13613735209834 129.2933232632395 -1.452629517202566
0.04000 10.351211546633428 10.740654236928066 31.15083091944996 10.63271348223866 50.150668175561066 9.942416151115344 69.43317503679883 10.5464637564926 89.48230239222886 10.546833944514201 10.61520960626168 30.55870129862078 30.14762859859529 29.47646605714484 50.38818575422749 30.271532005161834 69.24876379638556 30.01044075436717 89.70002259504821 28.733062773530964 10.125586449897213 50.81174013615183 31.446243604626364 50.13069941538369 49.63955021963467 49.82159880838328 69.61437450720567 49.70177152757217 89.75646373892367 49.98995471882225 10.11286787408203 70.78866456736357 30.155197787239036 69.59841863871807 50.26146759143796 69.38017866290122 70.65918477536266 70.05164402809957 90.42382309777243 71.1116766840956 10.102602022568758 90.53443080825095 29.81592317998232 89.61334537950644 50.79314877021146 89.90858022744862 70.61056004535047 90.17937271869872 90.15646095320032 88.92013366805607 129.30786217534254 -1.4671405282145087
0.05000 10.42145519948861 10.888791825647552 31.38101886418101 10.759286354527362 50.18079885754522 9.930900289746386 69.31979930051939 10.65576976753414 89.37875351661081 10.656251424452961 10.738268421156805 30.67043081554941 30.177149767923872 29.371734990225608 50.465842975250084 30.325847004600245 69.0984921536277 30.012523395548428 89.64002022749938 28.479630039020414 10.15069582834882 50.97409148164514 31.735538002793447 50.156854602248025 49.56742984372962 49.78591871945803 69.5372455675562 49.64211675466181 89.70775351316469 49.98794825886631 10.135435437124531 70.94640194698283 30.186238986401328 69.51809506874363 50.31375607708189 69.25620057566705 70.79102952748207 70.06197799477728 90.50858782238134 71.33406727440718 10.123125620921417 90.64130458015588 29.779094040659434 89.53600393914586 50.95179142023387 89.89030316008055 70.73267508269683 90.21524076394428 90.18774759204412 88.70410231184343 129.32636925722457 -1.4856137236818432
0.06000 10.491699537823969 11.03693310698803 31.611218897589072 10.885875935113624 50.2109275692015 9.919385269435928 69.20641738679589 10.765083099562657 89.27519991931122 10.76569852722135 10.861336208004655 30.782154588053615 30.20666857677396 29.266990052985467 50.5435120610368 30.380166661552423 68.94820630011398 30.014603064639886 89.58001421708951 28.226170033148758 10.175801493983455 51.136444719039474 32.024859571542976 50.18301776608131 49.49529010815867 49.75023893984541 69.46011447297852 49.58245699114725 89.65904162344034 49.98594307008159 10.157999558310568 71.10414183796037 30.21728129313264 69.43776751771475 50.366041751815416 69.13221490275619 70.92287849168947 70.07231486783284 90.59335251642484 71.55649220965375 10.143651131597897 90.74817155458648 29.742257643510012 89.45865713550964 51.11044074909943 89.87202973365075 70.85479177740548 90.25110512919132 90.21903139732927 88.48803551564022 129.34925354512075 -1.5084572794441196
0.07000 10.561944653640024 11.185078704079869 31.841433171914865 11.012485193885599 50.241053740051 9.907871461474315 69.09302806048052 10.874405024107936 89.17164107029336 10.875181831727977 10.984414300452034 30.89387171600802 30.236184746826012 29.162228517706104 50.62119561522145 30.434491722965163 68.7979032560554 30.016679288585134 89.52000399576588 27.97267625520275 10.200903154927623 51.298800205397754 32.314214610303985 50.209189967473876 49.423125748640864 49.71455969958191 69.38298082401806 49.52279138263457 89.61032777425434 49.98393929003024 10.180559564103357 71.26188471154452 30.24832501909177 69.35743532940327 50.41832410447537 69.00822034539794 71.05473234321201 70.08265518260013 90.67811705930782 71.77896053621267 10.164178971435549 90.85503058085828 29.705412928324783 89.3813042932293 51.269097672027605 89.85376048446088 70.97691040047152 90.28696512481386 90.2503120766014 88.2719242699243 129.3770064974036 -1.5361617608149873
0.08000 10.632190636840328 11.333229241183703 32.07166388002637 11.139117174589375 50.27117671457552 9.896359317994015 68.97963002009745 10.98373682555787 89.06807653386883 10.984708712801643 11.10750397909341 31.005581307447578 30.265698062090035 29.057447515420733 50.69889646922048 30.488822919899928 68.64757982090637 30.018751602729417 89.45998897934861 27.71914134797085 10.226000588615097 51.46115830514502 32.60361022508067 50.23537215398981 49.350930645717085 49.67888131351425 69.30584420742912 49.463119068906295 89.56161166919523 49.98193704292067 10.203114752372043 71.41963105819826 30.279370509852267 69.27709785511246 50.470602609752724 68.88421559120444 71.1865917486071 70.09299948588553 90.76288124190458 72.0014828500893 10.184709580561451 90.96188050725125 29.668558873347823 89.30394479251937 51.42776305915271 89.83549592897222 71.09903121541805 90.32282004379739 90.28158944656032 88.05575804611833 129.41021253945178 -1.569310778455761
0.09000 10.702437576750347 11.481385343363607 32.30191325510428 11.26577500149921 50.301295745509925 9.88484937879746 68.8662218950419 11.093079800444599 88.96450598126451 11.094287495486899 11.230606470035987 31.117282475952365 30.295208381774593 28.952644027199355 50.77661770491039 30.543160963671017 68.49723255158978 30.020819552232194 89.39996855126294 27.465556951981245 10.251093634691976 51.62351938888466 32.893054473755214 50.26156513951178 49.27869768831154 49.64320420102222 69.22870419543446 49.40343918411069 89.51289301212496 49.97993644166666 10.225664392537478 71.5773813889807 30.31041814349936 69.19675445600133 50.52287672721034 68.76019931259435 71.31845736554041 70.10334833490145 90.84764473205419 72.22407159708756 10.205243420071012 91.06872018238235 29.631694493880378 89.22657806627112 51.58643773906353 89.81723656403291 71.22115447591595 90.3586691635113 90.31286347003528 87.83952448754597 129.4495584537399 -1.608590599947498
