#t  x1  x2  v1  v2 
1.05000  4.63371  11.84090  5.39701  -1.67191 
1.06000  4.68781  11.82393  5.42212  -1.72195 
1.07000  4.74216  11.80646  5.44597  -1.77110 
1.08000  4.79673  11.78850  5.46856  -1.81936 
1.09000  4.85153  11.77007  5.48987  -1.86670 
1.10000  4.90653  11.75117  5.50989  -1.91313 
1.11000  4.96173  11.73181  5.52862  -1.95862 
1.12000  5.01710  11.71200  5.54605  -2.00316 
1.13000  5.07265  11.69174  5.56218  -2.04675 
1.14000  5.12835  11.67106  5.57698  -2.08937 
1.15000  5.18419  11.64996  5.59046  -2.13102 
1.16000  5.24015  11.62844  5.60261  -2.17168 
1.17000  5.29624  11.60652  5.61342  -2.21135 
1.18000  5.35242  11.58421  5.62289  -2.25001 
1.19000  5.40870  11.56152  5.63100  -2.28766 
1.20000  5.46504  11.53846  5.63777  -2.32430 
1.21000  5.52145  11.51504  5.64317  -2.35990 
1.22000  5.57791  11.49126  5.64721  -2.39446 
1.23000  5.63440  11.46715  5.64988  -2.42799 
1.24000  5.69090  11.44270  5.65117  -2.46046 
1.25000  5.74742  11.41794  5.65109  -2.49187 
1.26000  5.80393  11.39287  5.64963  -2.52222 
1.27000  5.86041  11.36749  5.64679  -2.55151 
1.28000  5.91686  11.34184  5.64257  -2.57971 
1.29000  5.97326  11.31590  5.63695  -2.60684 
1.30000  6.02960  11.28970  5.62995  -2.63288 
1.31000  6.08586  11.26324  5.62156  -2.65783 
1.32000  6.14203  11.23654  5.61178  -2.68169 
1.33000  6.19810  11.20961  5.60061  -2.70445 
1.34000  6.25404  11.18245  5.58805  -2.72611 
1.35000  6.30986  11.15509  5.57410  -2.74667 
1.36000  6.36553  11.12752  5.55876  -2.76612 
1.37000  6.42103  11.09976  5.54203  -2.78446 
1.38000  6.47637  11.07183  5.52391  -2.80169 
1.39000  6.53151  11.04373  5.50441  -2.81780 
1.40000  6.58645  11.01547  5.48353  -2.83281 
1.41000  6.64118  10.98707  5.46126  -2.84669 
1.42000  6.69568  10.95854  5.43762  -2.85947 
1.43000  6.74993  10.92989  5.41261  -2.87112 
1.44000  6.80393  10.90112  5.38623  -2.88166 
1.45000  6.85766  10.87225  5.35848  -2.89109 
1.46000  6.91110  10.84330  5.32937  -2.89940 
1.47000  6.96425  10.81426  5.29890  -2.90660 
1.48000  7.01708  10.78516  5.26709  -2.91269 
1.49000  7.06959  10.75601  5.23393  -2.91766 
1.50000  7.12176  10.72681  5.19943  -2.92154 
1.51000  7.17358  10.69758  5.16359  -2.92430 
1.52000  7.22503  10.66833  5.12644  -2.92597 
1.53000  7.27611  10.63906  5.08796  -2.92654 
1.54000  7.32679  10.60979  5.04818  -2.92601 
1.55000  7.37707  10.58054  5.00709  -2.92440 
1.56000  7.42693  10.55131  4.96471  -2.92169 
1.57000  7.47636  10.52211  4.92105  -2.91791 
1.58000  7.52535  10.49295  4.87610  -2.91305 
1.59000  7.57389  10.46384  4.82989  -2.90713 
1.60000  7.62195  10.43481  4.78243  -2.90013 
1.61000  7.66953  10.40584  4.73372  -2.89208 
1.62000  7.71662  10.37696  4.68377  -2.88298 
1.63000  7.76321  10.34818  4.63260  -2.87283 
1.64000  7.80928  10.31951  4.58021  -2.86165 
1.65000  7.85481  10.29095  4.52662  -2.84943 
1.66000  7.89981  10.26252  4.47184  -2.83619 
1.67000  7.94425  10.23423  4.41589  -2.82194 
1.68000  7.98813  10.20608  4.35876  -2.80668 
1.69000  8.03143  10.17809  4.30049  -2.79042 
1.70000  8.07414  10.15027  4.24108  -2.77318 
1.71000  8.11625  10.12263  4.18054  -2.75496 
1.72000  8.15775  10.09517  4.11889  -2.73576 
1.73000  8.19863  10.06791  4.05614  -2.71561 
1.74000  8.23887  10.04086  3.99231  -2.69451 
1.75000  8.27847  10.01402  3.92741  -2.67248 
1.76000  8.31742  9.98741  3.86146  -2.64951 
1.77000  8.35570  9.96103  3.79447  -2.62563 
1.78000  8.39331  9.93490  3.72646  -2.60084 
1.79000  8.43023  9.90902  3.65744  -2.57517 
1.80000  8.46646  9.88339  3.58744  -2.54861 
1.81000  8.50198  9.85804  3.51646  -2.52118 
1.82000  8.53679  9.83297  3.44453  -2.49289 
1.83000  8.57087  9.80819  3.37166  -2.46377 
1.84000  8.60422  9.78370  3.29786  -2.43381 
1.85000  8.63683  9.75951  3.22317  -2.40304 
1.86000  8.66868  9.73564  3.14759  -2.37146 
1.87000  8.69978  9.71208  3.07114  -2.33910 
1.88000  8.73010  9.68885  2.99385  -2.30596 
1.89000  8.75965  9.66596  2.91573  -2.27206 
1.90000  8.78842  9.64341  2.83679  -2.23741 
1.91000  8.81639  9.62121  2.75707  -2.20203 
1.92000  8.84356  9.59937  2.67657  -2.16594 
1.93000  8.86992  9.57789  2.59532  -2.12914 
1.94000  8.89547  9.55679  2.51334  -2.09166 
1.95000  8.92019  9.53606  2.43065  -2.05351 
1.96000  8.94408  9.51572  2.34727  -2.01471 
1.97000  8.96713  9.49577  2.26321  -1.97527 
1.98000  8.98934  9.47621  2.17851  -1.93521 
1.99000  9.01070  9.45706  2.09317  -1.89454 
2.00000  9.03121  9.43832  2.00723  -1.85328 
2.01000  9.05085  9.42000  1.92070  -1.81146 
2.02000  9.06962  9.40209  1.83361  -1.76907 
2.03000  9.08752  9.38462  1.74597  -1.72616 
2.04000  9.10454  9.36757  1.65781  -1.68272 
2.05000  9.12068  9.35096  1.56915  -1.63878 
2.06000  9.13592  9.33479  1.48001  -1.59435 
2.07000  9.15028  9.31907  1.39042  -1.54946 
2.08000  9.16373  9.30381  1.30039  -1.50412 
2.09000  9.17629  9.28899  1.20996  -1.45835 
2.10000  9.18793  9.27464  1.11913  -1.41216 
2.11000  9.19867  9.26075  1.02795  -1.36558 
2.12000  9.20849  9.24733  0.93641  -1.31863 
2.13000  9.21740  9.23438  0.84456  -1.27131 
2.14000  9.22538  9.22190  0.75242  -1.22366 
2.15000  9.23244  9.20990  0.66000  -1.17569 
2.16000  9.23858  9.19839  0.56733  -1.12742 
2.17000  9.24379  9.18735  0.47443  -1.07886 
2.18000  9.24807  9.17681  0.38134  -1.03005 
2.19000  9.25142  9.16675  0.28806  -0.98099 
2.20000  9.25383  9.15719  0.19463  -0.93170 
2.21000  9.25531  9.14812  0.10106  -0.88221 
2.22000  9.25585  9.13955  0.00739  -0.83253 
2.23000  9.25546  9.13147  -0.08637  -0.78268 
2.24000  9.25413  9.12389  -0.18019  -0.73269 
2.25000  9.25185  9.11682  -0.27405  -0.68256 
2.26000  9.24864  9.11024  -0.36791  -0.63233 
2.27000  9.24450  9.10417  -0.46177  -0.58201 
2.28000  9.23941  9.09860  -0.55560  -0.53162 
2.29000  9.23338  9.09354  -0.64937  -0.48118 
2.30000  9.22642  9.08898  -0.74305  -0.43070 
2.31000  9.21852  9.08492  -0.83663  -0.38022 
2.32000  9.20969  9.08137  -0.93008  -0.32974 
2.33000  9.19992  9.07833  -1.02338  -0.27929 
2.34000  9.18922  9.07579  -1.11650  -0.22888 
2.35000  9.17759  9.07375  -1.20942  -0.17854 
2.36000  9.16503  9.07222  -1.30212  -0.12829 
2.37000  9.15155  9.07118  -1.39457  -0.07814 
2.38000  9.13714  9.07065  -1.48674  -0.02812 
2.39000  9.12181  9.07062  -1.57863  0.02177 
2.40000  9.10557  9.07109  -1.67019  0.07149 
2.41000  9.08841  9.07205  -1.76142  0.12102 
2.42000  9.07034  9.07351  -1.85228  0.17036 
2.43000  9.05136  9.07546  -1.94275  0.21948 
2.44000  9.03149  9.07790  -2.03281  0.26836 
2.45000  9.01071  9.08083  -2.12244  0.31699 
2.46000  8.98904  9.08424  -2.21161  0.36533 
2.47000  8.96648  9.08813  -2.30030  0.41339 
2.48000  8.94303  9.09251  -2.38850  0.46113 
2.49000  8.91871  9.09736  -2.47616  0.50854 
2.50000  8.89351  9.10268  -2.56329  0.55560 
2.51000  8.86744  9.10847  -2.64984  0.60229 
2.52000  8.84051  9.11472  -2.73580  0.64860 
2.53000  8.81272  9.12144  -2.82116  0.69451 
2.54000  8.78409  9.12861  -2.90587  0.73999 
2.55000  8.75461  9.13624  -2.98994  0.78503 
2.56000  8.72429  9.14431  -3.07332  0.82962 
